"國語注音符號第一式","威妥瑪拼音","國語注音符號第二式","耶魯拼音","法國遠東學院拼音","德國式拼音","華語通用拼音","漢語拼音方案","國語羅馬字:第一聲","第二聲","第三聲","第四聲"
"ㄔㄨㄚ","ch'ua","chua","chwa","tch'oua","tschua","chua","chua","chua","chuar","chuaa","chuah"
"ㄓㄨㄞ","chuai","juai","jwai","tchouai","dschuai","jhuai","zhuai","juai","jwai","joai","juay"
"ㄔㄨㄞ","ch'uai","chuai","chwai","tch'ouai","tschuai","chuai","chuai","chuai","chwai","choai","chuay"
"ㄓㄨㄢ","chuan","juan","jwan","tchouan","dschuan","jhuan","zhuan","juan","jwan","joan","juann"
"ㄔㄨㄢ","ch'uan","chuan","chwan","tch'ouan","tschuan","chuan","chuan","chuan","chwan","choan","chuann"
"ㄓㄨㄤ","chuang","juang","jwang","tchouang","dschuang","jhuang","zhuang","juang","jwang","joang","juanq"
"ㄔㄨㄤ","ch'uang","chuang","chwang","tch'ouang","tschuang","chuang","chuang","chuang","chwang","choang","chuanq"
"ㄓㄨㄟ","chui","juei","jwei","tchouei","dschui","jhuei","zhui","juei","jwei","joei","juey"
"ㄔㄨㄟ","ch'ui","chuei","chwei","tch'ouei","tschui","chuei","chui","chuei","chwei","choei","chuey"
"ㄓㄨㄣ","chun","juen","jwen","tchouen","dschun","jhun","zhun","juen","jwen","joen","juenn"
"ㄔㄨㄣ","ch'un","chuen","chwen","tch'ouen","tschun","chun","chun","chuen","chwen","choen","chuenn"
"ㄓㄨㄥ","chung","jung","jung","tchong","dschung","jhong","zhong","jong","jorng","joong","jonq"
"ㄔㄨㄥ","ch'ung","chung","chung","tch'ong","tschung","chong","chong","chong","chorng","choong","chonq"
"ㄐㄩ","chü","jiu","jyu","kiu","djü","jyu","ju","jiu","jyu","jeu","jiuh"
"ㄑㄩ","ch'ü","chiu","chyu","k'iu","tjü","cyu","qu","chiu","chyu","cheu","chiuh"
"ㄐㄩㄢ","chüan","jiuan","jywan","kiuan","djüan","jyuan","juan","jiuan","jyuan","jeuan","jiuann"
"ㄑㄩㄢ","ch'üan","chiuan","chywan","k'iuan","tjüan","cyuan","quan","chiuan","chyuan","cheuan","chiuann"
"ㄐㄩㄝ","chüeh","jiue","jywe","kiue","djüä","jyue","jue","jiue","jyue","jeue","jiueh"
"ㄑㄩㄝ","ch'üeh","chiue","chywe","k'iue","tjüä","cyue","que","chiue","chyue","cheue","chiueh"
"ㄐㄩㄣ","chün","jiun","jyun","kiun","djün","jyun","jun","jiun","jyun","jeun","jiunn"
"ㄑㄩㄣ","ch'ün","chiun","chyun","k'iun","tjün","cyun","qun","chiun","chyun","cheun","chiunn"
"ㄜ","ê","e","e","ngo","o","e","e","e","er","ee","eh"
"ㄟ","ei","ei","ei","ei","ei","ei","ei","ei","eir","eei","ey"
"ㄣ","ên","en","en","ngen","ën","en","en","en","ern","een","enn"
